# Generated Laser Tracks with the following resolutions: 0.1 deg (horizontal) / 1 deg (vertical)
# angles measured from beam direction: horizontal (phi): counter-clockwise from beam direction
#                                      vertical (thetha): counter-clockwise (towards top) from beam direction
#  X[cm], Y[cm], Z[cm], thetha[deg], phi[deg] 
127.0 0.0 25.0 291.7569 338.0259
127.0 0.0 25.0 291.7569 338.1224
127.0 0.0 25.0 291.7569 338.2190
127.0 0.0 25.0 291.7569 338.3155
127.0 0.0 25.0 291.7569 338.4121
127.0 0.0 25.0 291.7569 344.0334
127.0 0.0 25.0 291.7569 344.1314
127.0 0.0 25.0 291.7569 344.2295
127.0 0.0 25.0 291.7569 344.3276
127.0 0.0 25.0 291.7569 344.4256
127.0 0.0 25.0 291.7569 344.5237
127.0 0.0 25.0 291.7569 344.6218
127.0 0.0 25.0 291.7569 344.7198
127.0 0.0 25.0 291.7569 344.8179
127.0 0.0 25.0 291.7569 344.9160
127.0 0.0 25.0 291.7569 345.0140
127.0 0.0 25.0 291.7569 345.1121
127.0 0.0 25.0 291.7569 345.2102
127.0 0.0 25.0 291.7569 345.3082
127.0 0.0 25.0 291.7569 345.4063
127.0 0.0 25.0 291.7569 345.5044
127.0 0.0 25.0 291.7569 345.6025
127.0 0.0 25.0 291.7569 345.7005
127.0 0.0 25.0 291.7569 345.7986
127.0 0.0 25.0 291.7569 345.8967
127.0 0.0 25.0 291.7569 345.9947
127.0 0.0 25.0 291.7569 346.0928
127.0 0.0 25.0 291.7569 346.1909
127.0 0.0 25.0 291.7569 346.2889
127.0 0.0 25.0 291.7569 346.3870
127.0 0.0 25.0 291.7569 346.4851
127.0 0.0 25.0 291.7569 346.5831
127.0 0.0 25.0 291.7569 346.6812
127.0 0.0 25.0 291.7569 346.7793
127.0 0.0 25.0 291.7569 346.8773
127.0 0.0 25.0 291.7569 352.7158
127.0 0.0 25.0 291.7569 352.8150
127.0 0.0 25.0 291.7569 352.9142
127.0 0.0 25.0 291.7569 353.0134
127.0 0.0 25.0 291.7569 353.1126
127.0 0.0 25.0 291.7569 353.2117
127.0 0.0 25.0 291.7569 353.3109
127.0 0.0 25.0 291.7569 353.4101
127.0 0.0 25.0 291.7569 353.5093
127.0 0.0 25.0 291.7569 353.6085
127.0 0.0 25.0 291.7569 353.7076
